date,liq_sven,liq_resid1,liq_resid2
1954-01,,0.19630162138772067,
1954-02,,0.14235639976962244,
1954-03,,0.18042180196355362,
1954-04,,0.303715536462566,
1954-05,,0.1171730337870025,
1954-06,,0.14026565097337818,
1954-07,,0.4696231456310631,
1954-08,,0.42386030822461873,
1954-09,,0.3578706293957672,
1954-10,,0.27109882952537456,
1954-11,,0.26079490710512,
1954-12,,0.1949037366917319,
1955-01,,0.19843463967122665,
1955-02,,-0.012567885161610892,
1955-03,,0.30782070088107183,
1955-04,,0.4778860120618178,
1955-05,,0.0068298601567184924,
1955-06,,0.09305687236320659,
1955-07,,0.17104562759161435,
1955-08,,0.40913329544704014,
1955-09,,0.5575402753452772,
1955-10,,0.4357779038994032,
1955-11,,0.19843415795741404,
1955-12,,0.1831741664606681,
1956-01,,0.2586481242460379,
1956-02,,0.040472395214764756,
1956-03,,0.062418188992103385,
1956-04,,0.11720266694775905,
1956-05,,-0.024980496304954247,
1956-06,,0.2112507230844307,
1956-07,,-0.11307581029634983,
1956-08,,-0.23809669144881607,
1956-09,,-0.01598926217714114,
1956-10,,0.041351993834676914,
1956-11,,-0.0377189935208917,
1956-12,,0.08719289708991251,
1957-01,,0.5333024572012537,
1957-02,,0.3700964695191029,
1957-03,,-0.2778619375550164,
1957-04,,-0.263291402444072,
1957-05,,0.08497330557636174,
1957-06,,-0.12321495968632368,
1957-07,,-0.3717338043164986,
1957-08,,-0.19689293881051517,
1957-09,,-0.41713867009839456,
1957-10,,0.1725956208322219,
1957-11,,-0.37933379050342886,
1957-12,,0.21247468790369206,
1958-01,,-0.2753543014372368,
1958-02,,-0.2438922861419759,
1958-03,,0.01193212869941096,
1958-04,,0.3007857111325791,
1958-05,,-0.09575589944898155,
1958-06,,0.19929173535160993,
1958-07,,-0.3029062075253195,
1958-08,,0.032659210305762354,
1958-09,,0.13924404640157295,
1958-10,,0.07564452287111711,
1958-11,,-0.049735161640741765,
1958-12,,0.22221651597180925,
1959-01,,0.0688154517442845,
1959-02,,-0.4112142368960843,
1959-03,,-0.3746869831415167,
1959-04,,-0.6450230387547959,
1959-05,,-0.3760734037123439,
1959-06,,-0.5966804546109845,
1959-07,,-1.2151296987121656,
1959-08,,-0.33530909138209175,
1959-09,,-0.3789218400289265,
1959-10,,0.29409907644045186,
1959-11,,-0.05177923147895935,
1959-12,,0.000497836295934917,
1960-01,,-0.27668640286948865,
1960-02,,-0.008384134281746114,
1960-03,,-0.30055998543893603,
1960-04,,-0.8587186401294908,
1960-05,,-0.6347369695743414,
1960-06,,-0.49085376358371535,
1960-07,,-0.41777082536597643,
1960-08,,-0.03540088644226147,
1960-09,,-0.23926719848910816,
1960-10,,-0.2826365208259345,
1960-11,,-0.25401449808703847,
1960-12,,-0.11348966170241415,
1961-01,,-0.08261777978181506,
1961-02,,-0.06587201149404409,
1961-03,,-0.21946587439052534,
1961-04,,-0.18969210506835577,
1961-05,,-0.06893642054155213,
1961-06,-0.3962545394897461,-0.2810813900058111,
1961-07,-0.01988530158996582,-0.047297304946787744,
1961-08,-0.3848700523376465,-0.2349956313022501,
1961-09,-0.2622530460357666,-0.22394514075936245,
1961-10,-0.2236616611480713,-0.1780033293216201,
1961-11,-0.15856456756591797,0.14476223937834343,
1961-12,-0.1923689842224121,0.07015915346044732,
1962-01,0.06171131134033203,-0.10762053985554942,
1962-02,-0.05167818069458008,-0.09070490694368516,
1962-03,0.1275632381439209,0.22648949373033123,
1962-04,0.20287013053894043,0.07061922830702372,
1962-05,0.10307145118713379,0.09063482007039392,
1962-06,-0.06479763984680176,0.2310214052690176,
1962-07,0.011156320571899414,-0.12797894397160858,
1962-08,-0.19242048263549805,0.10398573740530725,
1962-09,-0.07549476623535156,0.08515120907061746,
1962-10,0.09830164909362793,0.1497430623571514,
1962-11,0.011612415313720703,0.36705494383002923,
1962-12,0.03423786163330078,0.3616869105208149,
1963-01,0.1095283031463623,0.24776690595361028,
1963-02,0.4417154788970947,0.31668683812974363,
1963-03,0.13737034797668457,0.21914088649692776,
1963-04,0.07942509651184082,0.19322057639464463,
1963-05,0.04369664192199707,0.2167652391123953,
1963-06,0.04697299003601074,0.21686705126608707,
1963-07,0.01648569107055664,0.075920939874345,
1963-08,0.17125201225280762,-0.11343466280057468,
1963-09,0.08375072479248047,-0.14745719215844222,
1963-10,0.14757609367370605,0.05041063561310333,
1963-11,-0.21331071853637695,-0.06866421835534986,
1963-12,-0.2105119228363037,-0.01691709293240251,
1964-01,-0.016054391860961914,0.06522321283918409,
1964-02,-2.0172996520996094,-0.013071534233070281,
1964-03,-1.1291019916534424,0.009598925589434426,
1964-04,0.06603026390075684,0.07782215895684841,
1964-05,0.19753527641296387,-0.02590455818204651,
1964-06,0.2573225498199463,-0.016560818454439463,
1964-07,0.11802482604980469,-0.031330442177845974,
1964-08,0.016108989715576172,-0.051334618969149926,
1964-09,0.07870221138000488,-0.08330625201557895,
1964-10,0.018222808837890625,-0.05904451956649126,
1964-11,-0.19425606727600098,-0.14178553568858288,
1964-12,-0.2729947566986084,-0.007843816353526378,
1965-01,0.10434484481811523,-0.023187677502761073,
1965-02,0.0980837345123291,-0.04545478390957225,
1965-03,0.155198335647583,0.01798690456362051,
1965-04,0.05649852752685547,0.0689876502534128,
1965-05,-0.20769119262695312,0.05742483510304064,
1965-06,-0.11663436889648438,0.11202645248455045,
1965-07,-0.05167436599731445,0.0664369463619896,
1965-08,-0.22778892517089844,-0.0011152139251531246,
1965-09,-0.11724853515625,-0.06369367474604015,
