date,sven_resid
1961-06-14,-0.24702271231917683
1961-06-15,-0.25475563588643446
1961-06-16,-0.20871970731437273
1961-06-19,-0.363493747674835
1961-06-20,-0.37516216270853286
1961-06-21,-0.3696386415769659
1961-06-22,-0.38724650478498734
1961-06-23,-0.3358704992041286
1961-06-26,-0.35611188958180895
1961-06-27,-0.22826873889736277
1961-06-28,-0.2341423622661778
1961-06-29,-0.2646259601576153
1961-06-30,-0.3962543639020182
1961-07-03,-0.282091031561126
1961-07-05,-0.08309240251487049
1961-07-06,-0.08359785781361007
1961-07-07,-0.09484006222046704
1961-07-10,-0.12424577555450611
1961-07-11,-0.17304301702550084
1961-07-12,-0.0666089187699983
1961-07-13,-0.09404679873580468
1961-07-14,-0.024077048130725753
1961-07-17,-0.046579453011931005
1961-07-18,-0.042408573508264436
1961-07-19,-0.05651592084766133
1961-07-20,-0.06516790494865266
1961-07-21,-0.09460121200612015
1961-07-24,-0.066838806165741
1961-07-25,-0.04332335734826209
1961-07-26,-0.09436074866158917
1961-07-27,-0.046293667784055526
1961-07-28,-0.007517662165533956
1961-07-31,-0.01988529290039942
1961-08-01,-0.005844630781776328
1961-08-02,-0.052481931796122705
1961-08-03,-0.06705782998963272
1961-08-04,-0.08440992990143625
1961-08-07,-0.1274864292595188
1961-08-08,-0.20834967770832513
1961-08-09,-0.15285039265419575
1961-08-10,-0.153569934132185
1961-08-11,-0.2219717635147802
1961-08-14,-0.18488207764682807
1961-08-15,-0.17320340749733854
1961-08-16,-0.11840565192772567
1961-08-17,-0.15682836391117583
1961-08-18,-0.28448020011249575
1961-08-21,-0.3906016025478669
1961-08-22,-0.3702174863730847
1961-08-23,-0.32659171720576774
1961-08-24,-0.29449545411951794
1961-08-25,-0.3121132408298637
1961-08-28,-0.345564085532466
1961-08-29,-0.2845926160449195
1961-08-30,-0.2810694401661289
1961-08-31,-0.38486983929134055
1961-09-01,-0.27903072807861085
1961-09-05,-0.26872748253859724
1961-09-06,-0.24281067385293342
1961-09-07,-0.3117524978443509
1961-09-08,-0.2828476618696456
1961-09-11,-0.334021599999788
1961-09-12,-0.3389836520149947
1961-09-13,-0.33249696526749295
1961-09-14,-0.3436500012296566
1961-09-15,-0.3436748085165813
1961-09-18,-0.35972320695690385
1961-09-19,-0.34042777257078516
1961-09-20,-0.30388226997310097
1961-09-21,-0.29044307860614804
1961-09-22,-0.281100119424738
1961-09-25,-0.274724580686601
1961-09-26,-0.26447363077154806
1961-09-27,-0.24729686456618705
1961-09-28,-0.26142805377141665
1961-09-29,-0.2622530402286225
1961-10-02,-0.14752916545179673
1961-10-03,-0.13774110431809827
1961-10-04,-0.03297542222023875
1961-10-05,-0.07244934456223673
1961-10-06,-0.025330398638875096
1961-10-09,-0.09155909435471044
1961-10-10,-0.11151663387825694
1961-10-11,-0.08349506894536951
1961-10-13,-0.1253928194442251
1961-10-16,-0.17276672810270854
1961-10-17,-0.22872014848459665
1961-10-18,-0.19675807542978507
1961-10-19,-0.1963463269431469
1961-10-20,-0.20516143960315958
1961-10-23,-0.19779867418106623
1961-10-24,-0.19985678060783885
1961-10-25,-0.18019990020014065
1961-10-26,-0.15322940405964403
1961-10-27,-0.17919947587200324
1961-10-30,-0.1908858868937644
1961-10-31,-0.2236615158509654
1961-11-01,-0.1671131462379738
1961-11-02,-0.16417654287841987
1961-11-03,-0.12338062831987084
1961-11-06,-0.10004280007078936
1961-11-08,-0.033296897949486315
1961-11-09,-0.11139588401652567
1961-11-10,-0.12422457140339516
1961-11-13,-0.09913462933748773
1961-11-14,-0.16641531447077407
1961-11-15,-0.11592982076832259
1961-11-16,-0.1370355948657771
1961-11-17,-0.13746204220543135
1961-11-20,-0.21305279556981604
1961-11-21,-0.18624821632438415
1961-11-22,-0.15040564084230335
1961-11-24,-0.16891953108789126
1961-11-27,-0.15244574684107137
1961-11-28,-0.16384350981409623
1961-11-29,-0.10454388809348103
1961-11-30,-0.1585674232529133
1961-12-01,-0.1570641342389716
1961-12-04,-0.18856118679372358
1961-12-05,-0.19812010843189576
1961-12-06,-0.20556652472222936
1961-12-07,-0.2320515013656368
1961-12-08,-0.22588481542740713
1961-12-11,-0.2386470226453108
1961-12-12,-0.20089865412643704
1961-12-13,-0.18618203775011866
1961-12-14,-0.2050895372306747
1961-12-15,-0.202451182534932
1961-12-18,-0.206189803808547
1961-12-19,-0.24616668268622988
1961-12-20,-0.21132863487033537
1961-12-21,-0.21444799859381591
1961-12-22,-0.26646592869108643
1961-12-26,-0.2547598666280151
1961-12-27,-0.2523267772752509
1961-12-28,-0.1943658733488478
1961-12-29,-0.19236509733551665
1962-01-02,-0.1270569107309245
1962-01-03,-0.11237635277457159
1962-01-04,-0.11922879847287682
1962-01-05,-0.13950663199111268
1962-01-08,-0.10478355799459216
1962-01-09,-0.15457615786786283
1962-01-10,-0.11916449551525021
1962-01-11,-0.1376431268630749
1962-01-12,-0.1383594087895239
1962-01-15,-0.13439564284451233
1962-01-16,-0.07271583494323641
1962-01-17,-0.05244852665555699
1962-01-18,-0.0755162249651331
1962-01-19,-0.045795891491657414
1962-01-22,-0.05472761199227705
1962-01-23,-0.03762196571071019
1962-01-24,-0.04057410790381821
1962-01-25,-0.03355956587411413
1962-01-26,-0.017026130962429775
1962-01-29,-0.023319841060788882
1962-01-30,-0.01699891653979746
1962-01-31,0.06171145098663455
1962-02-01,0.028284054938275016
1962-02-02,0.12243414616990389
1962-02-05,-0.030490305980867216
1962-02-06,-0.004975427286439071
1962-02-07,0.0651931662564218
1962-02-08,-0.06038341687184978
